IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
99;Лови момент;99;Y;;;/upload/iblock/9a0/9a037e1fc19a32f9d235dd9eabb4a2f3.png;;text;/upload/iblock/ed2/ed2bec1d7a2cdcdc270c4b381799c01e.png;;text;;500;;;;
100;Скидки новым клиентам;100;Y;;;/upload/iblock/3cd/3cd7cd0f999c79d6a4a736f5208e156d.png;;text;/upload/iblock/263/2636b1811434c5fa17160a05b3b42845.png;;text;;500;;;;
101;Налетай! У нас акция;101;Y;;;/upload/iblock/0e2/0e24ba0d204f88a1f04d9878fb1fba0c.png;123;text;/upload/iblock/bd4/bd483e3323caa5aab3412da0038246b9.png;123;text;;500;;;;
